scheme,village,period_recent,period_base,variable,mean_recent,mean_base,delta,pct_change,p_welch,hedges_g,ci_low,ci_high,n_recent,n_base
idw4,Mandena,2018-2022,2013-2017,tmean_c,21.7867873069925,21.8644056635353,-0.0776183565428177,-0.354998703085109,0.65812999337807,-0.265416485908282,-0.375754321652335,0.207150129986274,5,5
idw4,Mandena,2018-2022,2013-2017,tmax_c,26.2765236573915,26.3918004170523,-0.115276759660791,-0.436790055392766,0.416101392702069,-0.49053171896374,-0.345978889764111,0.130390498371922,5,5
idw4,Mandena,2018-2022,2013-2017,tmin_c,18.3801444974661,18.3252542593331,0.054890238132959,0.299533296270654,0.811048867482421,0.143109782438216,-0.341026126083647,0.447885727938998,5,5
idw4,Mandena,2018-2022,2013-2017,rh_mean,85.050493509142,84.5954584989416,0.455035010200419,0.537895317638254,0.373793862333215,0.539689185611333,-0.37699701033581,1.29819909700866,5,5
idw4,Mandena,2018-2022,2013-2017,vpd_kpa,0.448311617345228,0.465665043192488,-0.0173534258472604,-3.7265897668181,0.21012324817288,-0.778392912743487,-0.040904911916411,0.00428800779862979,5,5
idw4,Mandena,2018-2022,2013-2017,ssrd_MJ_day,5.58386969897977e-06,6.48825833076309e-06,-9.04388631783324e-07,-13.9388505463061,0.600696064902931,-0.313478614569579,-3.70617472999539e-06,2.06653699003101e-06,5,5
idw4,Mandena,2018-2022,2013-2017,wbgt28_h,3.43333333333333,3.08333333333333,0.35,11.3513513513513,0.593424266123293,0.317677067556605,-0.716666666666667,1.41666666666667,5,5
idw4,Mandena,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2018-2022,2008-2012,tmean_c,21.7867873069925,21.7048159949808,0.0819713120117172,0.377664164629052,0.663355304933446,0.259126164542787,-0.226108840093335,0.417589209473033,5,5
idw4,Mandena,2018-2022,2008-2012,tmax_c,26.2765236573915,26.2774417469481,-0.000918089556616764,-0.00349383157408537,0.996144815143049,-0.00286024227029176,-0.32866024053245,0.320573104061766,5,5
idw4,Mandena,2018-2022,2008-2012,tmin_c,18.3801444974661,18.2356607660634,0.144483731402676,0.792314209263866,0.522555240269336,0.392996597133511,-0.208700964612079,0.505993245893016,5,5
idw4,Mandena,2018-2022,2008-2012,rh_mean,85.050493509142,85.545246807556,-0.494753298413997,-0.578352762868289,0.393872019273309,-0.514826722663526,-1.42135124321419,0.47849121665339,5,5
idw4,Mandena,2018-2022,2008-2012,vpd_kpa,0.448311617345228,0.434813606306259,0.0134980110389684,3.10432121792002,0.471003628248761,0.437079002225345,-0.0192889830010198,0.0441566912194392,5,5
idw4,Mandena,2018-2022,2008-2012,ssrd_MJ_day,5.58386969897977e-06,6.9219405237503e-06,-1.33807082477053e-06,-19.3308627859398,0.517373540359063,-0.386859090020657,-4.7870475312279e-06,2.14407683813409e-06,5,5
idw4,Mandena,2018-2022,2008-2012,wbgt28_h,3.43333333333333,3.01666666666667,0.416666666666667,13.8121546961326,0.637492896000319,0.282285632818633,-1.15,1.84958333333333,5,5
idw4,Mandena,2018-2022,2008-2012,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2018-2022,2003-2007,tmean_c,21.7867873069925,21.4130540266805,0.373733280311988,1.74535253049994,0.0616707703307397,1.37932733310223,0.0967586569448748,0.663376728091164,5,5
idw4,Mandena,2018-2022,2003-2007,tmax_c,26.2765236573915,25.8044378013062,0.472085856085318,1.82947545581257,0.00946077128502347,1.94206071180749,0.23082755885031,0.728248189933287,5,5
idw4,Mandena,2018-2022,2003-2007,tmin_c,18.3801444974661,18.0086171469806,0.371527350485472,2.06305318977678,0.136364963381355,1.02994756828555,0.00589984450510761,0.707451003356171,5,5
idw4,Mandena,2018-2022,2003-2007,rh_mean,85.050493509142,85.8977573838528,-0.847263874710805,-0.986363207277487,0.111571984205559,-1.03229700379134,-1.70522448071238,-0.0253640670331133,5,5
idw4,Mandena,2018-2022,2003-2007,vpd_kpa,0.448311617345228,0.412722890849028,0.0355887264961994,8.62291074357143,0.0242821172037747,1.58266499473776,0.0129742554181203,0.0591419872469351,5,5
idw4,Mandena,2018-2022,2003-2007,ssrd_MJ_day,5.58386969897977e-06,6.93403309065749e-06,-1.35016339167772e-06,-19.4715452612543,0.462135034436687,-0.442789309274285,-4.53912800451002e-06,1.59064711169232e-06,5,5
idw4,Mandena,2018-2022,2003-2007,wbgt28_h,3.43333333333333,2.83333333333333,0.6,21.1764705882353,0.525728984458656,0.383973636456731,-0.85,2.16625,5,5
idw4,Mandena,2018-2022,2003-2007,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,0.373900966300059,-0.571250157965901,-0.05,0,5,5
idw4,Mandena,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
idw4,Sarahandrano,2018-2022,2013-2017,tmean_c,20.4377493713355,20.4978575124327,-0.0601081410972526,-0.293241091469168,0.73794675987225,-0.200087400331014,-0.364454321459516,0.229868008627654,5,5
idw4,Sarahandrano,2018-2022,2013-2017,tmax_c,24.7780666871943,24.877430211054,-0.0993635238596582,-0.399412330842385,0.490381516221904,-0.414738575641871,-0.331412891367884,0.150770242385595,5,5
idw4,Sarahandrano,2018-2022,2013-2017,tmin_c,17.2018356908365,17.1314518380537,0.0703838527828182,0.410845814167811,0.762643531976827,0.18086907231302,-0.328765787466148,0.45233605264854,5,5
idw4,Sarahandrano,2018-2022,2013-2017,rh_mean,86.6202504100446,86.2202891663739,0.399961243670717,0.463882976429059,0.414639283113081,0.493120098712148,-0.428514936572236,1.20107650008319,5,5
idw4,Sarahandrano,2018-2022,2013-2017,vpd_kpa,0.37570821444429,0.390440484683534,-0.0147322702392432,-3.77324350756921,0.235270099253531,-0.733446103811099,-0.036250794411205,0.00465619779614847,5,5
idw4,Sarahandrano,2018-2022,2013-2017,ssrd_MJ_day,6.05892378867994e-06,6.39191829579107e-06,-3.32994507111128e-07,-5.20961770319244,0.798563018859662,-0.150866100108655,-2.50996726445962e-06,1.8855838997428e-06,5,5
idw4,Sarahandrano,2018-2022,2013-2017,wbgt28_h,0.35,0.133333333333333,0.216666666666667,162.5,0.114084141408052,1.05023063717409,0.0166666666666667,0.416666666666667,5,5
idw4,Sarahandrano,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Sarahandrano,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
idw4,Sarahandrano,2018-2022,2008-2012,tmean_c,20.4377493713355,20.3815774018068,0.0561719695286271,0.275601679012575,0.768504610131939,0.174737161641386,-0.261884850431256,0.374782163743433,5,5
idw4,Sarahandrano,2018-2022,2008-2012,tmax_c,24.7780666871943,24.8180137497638,-0.0399470625694569,-0.16095995018875,0.837048120955409,-0.121744013508379,-0.364946345556782,0.314724119046681,5,5
idw4,Sarahandrano,2018-2022,2008-2012,tmin_c,17.2018356908365,17.0872101937489,0.114625497087619,0.670826283447682,0.610670812677346,0.310452180364949,-0.265255852725144,0.475199936403019,5,5
idw4,Sarahandrano,2018-2022,2008-2012,rh_mean,86.6202504100446,86.9000683577669,-0.279817947722293,-0.321999686548329,0.613004015651121,-0.300638817108615,-1.1971114944174,0.678807601627518,5,5
idw4,Sarahandrano,2018-2022,2008-2012,vpd_kpa,0.37570821444429,0.369597143066081,0.00611107137820954,1.65344118396417,0.714619235235046,0.218019561586958,-0.0229370614449071,0.03310270467699,5,5
idw4,Sarahandrano,2018-2022,2008-2012,ssrd_MJ_day,6.05892378867994e-06,7.91319479156154e-06,-1.8542710028816e-06,-23.4326470120382,0.20633071384815,-0.785644778727832,-4.15267166721438e-06,5.06038305252055e-07,5,5
idw4,Sarahandrano,2018-2022,2008-2012,wbgt28_h,0.35,0.2,0.15,75,0.321498626090645,0.603809357685382,-0.1,0.4,5,5
idw4,Sarahandrano,2018-2022,2008-2012,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Sarahandrano,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
idw4,Sarahandrano,2018-2022,2003-2007,tmean_c,20.4377493713355,20.0892910519236,0.348458319411815,1.73454761798799,0.0822845366083148,1.25273143378743,0.0786461612086171,0.623254489630318,5,5
idw4,Sarahandrano,2018-2022,2003-2007,tmax_c,24.7780666871943,24.3419120092745,0.436154677919763,1.79178479387151,0.0154917491911322,1.7772044187203,0.199362750638268,0.689845931394217,5,5
idw4,Sarahandrano,2018-2022,2003-2007,tmin_c,17.2018356908365,16.8528668810176,0.348968809818945,2.07067920421308,0.158152538568452,0.963015482953608,-0.0108915257154724,0.74352884231308,5,5
idw4,Sarahandrano,2018-2022,2003-2007,rh_mean,86.6202504100446,87.3392702868216,-0.719019876776983,-0.823249237617542,0.152681711505101,-0.912750385304508,-1.49080811927763,0.0915289720180334,5,5
idw4,Sarahandrano,2018-2022,2003-2007,vpd_kpa,0.37570821444429,0.347874634840792,0.0278335796034983,8.00103738987366,0.0442377379586951,1.36240572521828,0.00839162626638523,0.0484201527037204,5,5
idw4,Sarahandrano,2018-2022,2003-2007,ssrd_MJ_day,6.05892378867994e-06,6.73481039372528e-06,-6.75886605045341e-07,-10.035718387485,0.637561994753663,-0.279689053415488,-3.09483971858106e-06,1.82803710092395e-06,5,5
idw4,Sarahandrano,2018-2022,2003-2007,wbgt28_h,0.35,0.25,0.1,40,0.4968004207456,0.406769525828563,-0.15,0.35,5,5
idw4,Sarahandrano,2018-2022,2003-2007,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Sarahandrano,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,2018-2022,2013-2017,tmean_c,21.575185084765,21.6497955964814,-0.0746105117164291,-0.344624554924459,0.671342052534079,-0.254324670543863,-0.374663262320057,0.228825179666674,5,5
nearest1,Mandena,2018-2022,2013-2017,tmax_c,26.1571080477426,26.2717746128856,-0.114666565142926,-0.436462960087535,0.419930639347723,-0.486141176410459,-0.355770823180958,0.125470597400994,5,5
nearest1,Mandena,2018-2022,2013-2017,tmin_c,18.1050288194996,18.0435710268906,0.0614577926090725,0.340607701865009,0.79059516993593,0.15902598397936,-0.315262399138373,0.435934859941384,5,5
nearest1,Mandena,2018-2022,2013-2017,rh_mean,85.41242523416,84.9602170890989,0.45220814506115,0.532258697723092,0.376958434714195,0.535695661744609,-0.37727686106535,1.32661114328452,5,5
nearest1,Mandena,2018-2022,2013-2017,vpd_kpa,0.433950784515077,0.450983693985061,-0.0170329094699835,-3.77683488275915,0.221590218554233,-0.757220514269491,-0.0404225992240619,0.00509863390770898,5,5
nearest1,Mandena,2018-2022,2013-2017,ssrd_MJ_day,5.46666666666668e-06,6.51666666666666e-06,-1.04999999999997e-06,-16.1125319693091,0.592289647648158,-0.321507676709151,-4.24999999999999e-06,2.28291666666669e-06,5,5
nearest1,Mandena,2018-2022,2013-2017,wbgt28_h,3.23333333333333,2.91666666666667,0.316666666666667,10.8571428571429,0.570993224953561,0.338026385448416,-0.582916666666666,1.29958333333333,5,5
nearest1,Mandena,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,2018-2022,2008-2012,tmean_c,21.575185084765,21.4973605919055,0.0778244928594951,0.362018827970904,0.681359468419954,0.244182298122544,-0.248431588518219,0.40656188915631,5,5
nearest1,Mandena,2018-2022,2008-2012,tmax_c,26.1571080477426,26.1696790437347,-0.0125709959920144,-0.0480364928091238,0.947954721009571,-0.0386698447052922,-0.330498625567205,0.316679275032224,5,5
nearest1,Mandena,2018-2022,2008-2012,tmin_c,18.1050288194996,17.957280245246,0.147748574253583,0.822778128067016,0.515977659852692,0.399595481934219,-0.230376215526064,0.506487973078555,5,5
nearest1,Mandena,2018-2022,2008-2012,rh_mean,85.41242523416,85.840640421053,-0.428215186893013,-0.498849012300694,0.465033773391238,-0.438436040789765,-1.41414488246899,0.527806150062312,5,5
nearest1,Mandena,2018-2022,2008-2012,vpd_kpa,0.433950784515077,0.422882680092431,0.0110681044226466,2.61729906276307,0.559462028299949,0.351465361071217,-0.0206615792973529,0.0425552155411958,5,5
nearest1,Mandena,2018-2022,2008-2012,ssrd_MJ_day,5.46666666666668e-06,7.20000000000002e-06,-1.73333333333334e-06,-24.0740740740741,0.464172616342415,-0.439105497675108,-5.63291666666668e-06,2.23291666666669e-06,5,5
nearest1,Mandena,2018-2022,2008-2012,wbgt28_h,3.23333333333333,3.01666666666667,0.216666666666667,7.18232044198896,0.790116521921881,0.159253864363677,-1.23291666666667,1.55,5,5
nearest1,Mandena,2018-2022,2008-2012,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,0.373900966300059,-0.571250157965901,-0.05,0,5,5
nearest1,Mandena,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,2018-2022,2003-2007,tmean_c,21.575185084765,21.1983787902196,0.376806294545379,1.77752411292522,0.0607346911849439,1.39216342750136,0.104959735542613,0.651446201053421,5,5
nearest1,Mandena,2018-2022,2003-2007,tmax_c,26.1571080477426,25.6830070536928,0.474100994049827,1.84597151361082,0.0091196097574631,1.95540378259376,0.225929348526582,0.718291290587426,5,5
nearest1,Mandena,2018-2022,2003-2007,tmin_c,18.1050288194996,17.7295794224623,0.375449397037276,2.11764412505805,0.135020394103273,1.0354766401473,0.0122234625774702,0.717461753359116,5,5
nearest1,Mandena,2018-2022,2003-2007,rh_mean,85.41242523416,86.259376244256,-0.846951010095964,-0.981865446948861,0.110296774863334,-1.03642045234989,-1.68500492077086,-0.0436416036539764,5,5
nearest1,Mandena,2018-2022,2003-2007,vpd_kpa,0.433950784515077,0.39887677626844,0.0350740082466372,8.79319387174167,0.0253706189671882,1.56638845416889,0.0124068093377288,0.057707485410059,5,5
nearest1,Mandena,2018-2022,2003-2007,ssrd_MJ_day,5.46666666666668e-06,7.11666666666667e-06,-1.64999999999998e-06,-23.1850117096016,0.44503454106903,-0.459991989718187,-5.26583333333334e-06,1.73333333333338e-06,5,5
nearest1,Mandena,2018-2022,2003-2007,wbgt28_h,3.23333333333333,2.65,0.583333333333334,22.0125786163522,0.507341189207412,0.404595965411856,-0.866666666666667,2.08333333333333,5,5
nearest1,Mandena,2018-2022,2003-2007,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,0.373900966300059,-0.571250157965901,-0.05,0,5,5
nearest1,Mandena,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,tmean_c,21.575185084765,21.6497955964814,-0.0746105117164291,-0.344624554924459,0.671342052534079,-0.254324670543863,-0.375822398196707,0.224556150246492,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,tmax_c,26.1571080477426,26.2717746128856,-0.114666565142926,-0.436462960087535,0.419930639347723,-0.486141176410459,-0.334979989008947,0.139711912486534,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,tmin_c,18.1050288194996,18.0435710268906,0.0614577926090725,0.340607701865009,0.79059516993593,0.15902598397936,-0.318375660345708,0.441357368195703,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,rh_mean,85.41242523416,84.9602170890989,0.45220814506115,0.532258697723092,0.376958434714195,0.535695661744609,-0.398234769477741,1.26591687353285,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,vpd_kpa,0.433950784515077,0.450983693985061,-0.0170329094699835,-3.77683488275915,0.221590218554233,-0.757220514269491,-0.0407155226214954,0.00537567194046548,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,ssrd_MJ_day,5.46666666666668e-06,6.51666666666666e-06,-1.04999999999997e-06,-16.1125319693091,0.592289647648158,-0.321507676709151,-4.29999999999998e-06,2.26666666666671e-06,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,wbgt28_h,3.23333333333333,2.91666666666667,0.316666666666667,10.8571428571429,0.570993224953561,0.338026385448416,-0.583333333333334,1.26666666666667,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,tmean_c,21.575185084765,21.4973605919055,0.0778244928594951,0.362018827970904,0.681359468419954,0.244182298122544,-0.25401229395923,0.404841799433789,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,tmax_c,26.1571080477426,26.1696790437347,-0.0125709959920144,-0.0480364928091238,0.947954721009571,-0.0386698447052922,-0.326298100512908,0.31344504475873,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,tmin_c,18.1050288194996,17.957280245246,0.147748574253583,0.822778128067016,0.515977659852692,0.399595481934219,-0.240555192387483,0.50945125977718,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,rh_mean,85.41242523416,85.840640421053,-0.428215186893013,-0.498849012300694,0.465033773391238,-0.438436040789765,-1.39583204329858,0.532458336707433,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,vpd_kpa,0.433950784515077,0.422882680092431,0.0110681044226466,2.61729906276307,0.559462028299949,0.351465361071217,-0.0203169495245463,0.0434055226504733,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,ssrd_MJ_day,5.46666666666668e-06,7.20000000000002e-06,-1.73333333333334e-06,-24.0740740740741,0.464172616342415,-0.439105497675108,-5.58250000000001e-06,2.25000000000001e-06,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,wbgt28_h,3.23333333333333,3.01666666666667,0.216666666666667,7.18232044198896,0.790116521921881,0.159253864363677,-1.18333333333333,1.53333333333333,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,0.373900966300059,-0.571250157965901,-0.05,0,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,tmean_c,21.575185084765,21.1983787902196,0.376806294545379,1.77752411292522,0.0607346911849439,1.39216342750136,0.116219535549118,0.644769095231295,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,tmax_c,26.1571080477426,25.6830070536928,0.474100994049827,1.84597151361082,0.0091196097574631,1.95540378259376,0.223670755093845,0.713948870327702,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,tmin_c,18.1050288194996,17.7295794224623,0.375449397037276,2.11764412505805,0.135020394103273,1.0354766401473,0.0287309652921271,0.73436693526317,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,rh_mean,85.41242523416,86.259376244256,-0.846951010095964,-0.981865446948861,0.110296774863334,-1.03642045234989,-1.66768440599298,-0.0538801560068544,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,vpd_kpa,0.433950784515077,0.39887677626844,0.0350740082466372,8.79319387174167,0.0253706189671882,1.56638845416889,0.0128900552232504,0.0571385285719582,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,ssrd_MJ_day,5.46666666666668e-06,7.11666666666667e-06,-1.64999999999998e-06,-23.1850117096016,0.44503454106903,-0.459991989718187,-5.34958333333334e-06,1.93333333333337e-06,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,wbgt28_h,3.23333333333333,2.65,0.583333333333334,22.0125786163522,0.507341189207412,0.404595965411856,-0.833333333333334,1.99958333333333,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,0.373900966300059,-0.571250157965901,-0.05,0,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
