scheme,village,period_recent,period_base,variable,mean_recent,mean_base,delta,pct_change,hedges_g,p_welch,ci_low,ci_high,n_recent,n_base
idw4,Mandena,2018-2022,2013-2017,tmean_c,21.7867873069925,21.8644056635353,-0.0776183565428177,-0.354998703085109,-0.265416485908282,0.65812999337807,-0.388361846716968,0.244664326199526,5,5
idw4,Mandena,2018-2022,2013-2017,tmax_c,26.2765236573915,26.3918004170523,-0.115276759660791,-0.436790055392766,-0.49053171896374,0.416101392702069,-0.339158188539031,0.120800164618035,5,5
idw4,Mandena,2018-2022,2013-2017,rh_mean,85.050493509142,84.5954584989416,0.455035010200419,0.537895317638254,0.539689185611333,0.373793862333215,-0.402208337060887,1.26748218224043,5,5
idw4,Mandena,2018-2022,2013-2017,vpd_kpa,0.448311617345228,0.465665043192488,-0.0173534258472604,-3.7265897668181,-0.778392912743487,0.21012324817288,-0.0379261064843213,0.00420948048594216,5,5
idw4,Mandena,2018-2022,2013-2017,ssrd_MJ_day,5.58386969897977e-06,6.48825833076309e-06,-9.04388631783324e-07,-13.9388505463061,-0.313478614569579,0.600696064902931,-3.78271574307545e-06,1.98595725472825e-06,5,5
idw4,Mandena,2018-2022,2013-2017,wbgt28_h,3.43333333333333,3.08333333333333,0.35,11.3513513513513,0.317677067556605,0.593424266123293,-0.783333333333333,1.41666666666667,5,5
idw4,Mandena,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2018-2022,2008-2012,tmean_c,21.7867873069925,21.7048159949808,0.0819713120117172,0.377664164629052,0.259126164542787,0.663355304933446,-0.219164023431072,0.381788464116774,5,5
idw4,Mandena,2018-2022,2008-2012,tmax_c,26.2765236573915,26.2774417469481,-0.000918089556616764,-0.00349383157408537,-0.00286024227029176,0.996144815143049,-0.315741659033039,0.308185293691801,5,5
idw4,Mandena,2018-2022,2008-2012,rh_mean,85.050493509142,85.545246807556,-0.494753298413997,-0.578352762868289,-0.514826722663526,0.393872019273309,-1.49220129246672,0.455955890555507,5,5
idw4,Mandena,2018-2022,2008-2012,vpd_kpa,0.448311617345228,0.434813606306259,0.0134980110389684,3.10432121792002,0.437079002225345,0.471003628248761,-0.0179853436982817,0.0446306661090353,5,5
idw4,Mandena,2018-2022,2008-2012,ssrd_MJ_day,5.58386969897977e-06,6.9219405237503e-06,-1.33807082477053e-06,-19.3308627859398,-0.386859090020657,0.517373540359063,-4.5885516728028e-06,2.01763816754764e-06,5,5
idw4,Mandena,2018-2022,2008-2012,wbgt28_h,3.43333333333333,3.01666666666667,0.416666666666667,13.8121546961326,0.282285632818633,0.637492896000319,-1.11666666666667,1.83333333333333,5,5
idw4,Mandena,2018-2022,2008-2012,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2018-2022,2003-2007,tmean_c,21.7867873069925,21.4130540266805,0.373733280311988,1.74535253049994,1.37932733310223,0.0616707703307397,0.0944395471301407,0.643767167672385,5,5
idw4,Mandena,2018-2022,2003-2007,tmax_c,26.2765236573915,25.8044378013062,0.472085856085318,1.82947545581257,1.94206071180749,0.00946077128502347,0.235476548830136,0.712306541861478,5,5
idw4,Mandena,2018-2022,2003-2007,rh_mean,85.050493509142,85.8977573838528,-0.847263874710805,-0.986363207277487,-1.03229700379134,0.111571984205559,-1.6714929314983,-0.0665385875228903,5,5
idw4,Mandena,2018-2022,2003-2007,vpd_kpa,0.448311617345228,0.412722890849028,0.0355887264961994,8.62291074357143,1.58266499473776,0.0242821172037747,0.0142203166355415,0.0573039111992036,5,5
idw4,Mandena,2018-2022,2003-2007,ssrd_MJ_day,5.58386969897977e-06,6.93403309065749e-06,-1.35016339167772e-06,-19.4715452612543,-0.442789309274285,0.462135034436687,-4.17407529910363e-06,1.63915267249834e-06,5,5
idw4,Mandena,2018-2022,2003-2007,wbgt28_h,3.43333333333333,2.83333333333333,0.6,21.1764705882353,0.383973636456731,0.525728984458656,-0.9,2.13333333333333,5,5
idw4,Mandena,2018-2022,2003-2007,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,-0.571250157965901,0.373900966300059,-0.05,0,5,5
idw4,Mandena,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
idw4,Sarahandrano,2018-2022,2013-2017,tmean_c,20.4377493713355,20.4978575124327,-0.0601081410972526,-0.293241091469168,-0.200087400331014,0.73794675987225,-0.363973775225387,0.23150921441294,5,5
idw4,Sarahandrano,2018-2022,2013-2017,tmax_c,24.7780666871943,24.877430211054,-0.0993635238596582,-0.399412330842385,-0.414738575641871,0.490381516221904,-0.332594186023022,0.152152249158117,5,5
idw4,Sarahandrano,2018-2022,2013-2017,rh_mean,86.6202504100446,86.2202891663739,0.399961243670717,0.463882976429059,0.493120098712148,0.414639283113081,-0.44746297850641,1.23562775866908,5,5
idw4,Sarahandrano,2018-2022,2013-2017,vpd_kpa,0.37570821444429,0.390440484683534,-0.0147322702392432,-3.77324350756921,-0.733446103811099,0.235270099253531,-0.0340060760551957,0.00452438179331436,5,5
idw4,Sarahandrano,2018-2022,2013-2017,ssrd_MJ_day,6.05892378867994e-06,6.39191829579107e-06,-3.32994507111128e-07,-5.20961770319244,-0.150866100108655,0.798563018859662,-2.54589142920625e-06,1.88003015571168e-06,5,5
idw4,Sarahandrano,2018-2022,2013-2017,wbgt28_h,0.35,0.133333333333333,0.216666666666667,162.5,1.05023063717409,0.114084141408052,0.0166666666666667,0.416666666666667,5,5
idw4,Sarahandrano,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Sarahandrano,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
idw4,Sarahandrano,2018-2022,2008-2012,tmean_c,20.4377493713355,20.3815774018068,0.0561719695286271,0.275601679012575,0.174737161641386,0.768504610131939,-0.257974425872498,0.398784618230205,5,5
idw4,Sarahandrano,2018-2022,2008-2012,tmax_c,24.7780666871943,24.8180137497638,-0.0399470625694569,-0.16095995018875,-0.121744013508379,0.837048120955409,-0.361736078888722,0.305928101557249,5,5
idw4,Sarahandrano,2018-2022,2008-2012,rh_mean,86.6202504100446,86.9000683577669,-0.279817947722293,-0.321999686548329,-0.300638817108615,0.613004015651121,-1.18573309345207,0.670549959972471,5,5
idw4,Sarahandrano,2018-2022,2008-2012,vpd_kpa,0.37570821444429,0.369597143066081,0.00611107137820954,1.65344118396417,0.218019561586958,0.714619235235046,-0.0226828044947713,0.0347568666281911,5,5
idw4,Sarahandrano,2018-2022,2008-2012,ssrd_MJ_day,6.05892378867994e-06,7.91319479156154e-06,-1.8542710028816e-06,-23.4326470120382,-0.785644778727832,0.20633071384815,-4.07130922052332e-06,6.51436559384702e-07,5,5
idw4,Sarahandrano,2018-2022,2008-2012,wbgt28_h,0.35,0.2,0.15,75,0.603809357685382,0.321498626090645,-0.1,0.4,5,5
idw4,Sarahandrano,2018-2022,2008-2012,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Sarahandrano,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
idw4,Sarahandrano,2018-2022,2003-2007,tmean_c,20.4377493713355,20.0892910519236,0.348458319411815,1.73454761798799,1.25273143378743,0.0822845366083148,0.0763578184516121,0.623702169704206,5,5
idw4,Sarahandrano,2018-2022,2003-2007,tmax_c,24.7780666871943,24.3419120092745,0.436154677919763,1.79178479387151,1.7772044187203,0.0154917491911322,0.185849648181173,0.69552414036947,5,5
idw4,Sarahandrano,2018-2022,2003-2007,rh_mean,86.6202504100446,87.3392702868216,-0.719019876776983,-0.823249237617542,-0.912750385304508,0.152681711505101,-1.53389445951962,0.0357285156612682,5,5
idw4,Sarahandrano,2018-2022,2003-2007,vpd_kpa,0.37570821444429,0.347874634840792,0.0278335796034983,8.00103738987366,1.36240572521828,0.0442377379586951,0.0082444887816535,0.0494183327720368,5,5
idw4,Sarahandrano,2018-2022,2003-2007,ssrd_MJ_day,6.05892378867994e-06,6.73481039372528e-06,-6.75886605045341e-07,-10.035718387485,-0.279689053415488,0.637561994753663,-3.08254119042526e-06,1.69968054757604e-06,5,5
idw4,Sarahandrano,2018-2022,2003-2007,wbgt28_h,0.35,0.25,0.1,40,0.406769525828563,0.4968004207456,-0.133333333333333,0.35,5,5
idw4,Sarahandrano,2018-2022,2003-2007,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Sarahandrano,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,2018-2022,2013-2017,tmean_c,21.575185084765,21.6497955964814,-0.0746105117164291,-0.344624554924459,-0.254324670543863,0.671342052534079,-0.373999724124878,0.224405251968314,5,5
nearest1,Mandena,2018-2022,2013-2017,tmax_c,26.1571080477426,26.2717746128856,-0.114666565142926,-0.436462960087535,-0.486141176410459,0.419930639347723,-0.339842165898613,0.116081637666189,5,5
nearest1,Mandena,2018-2022,2013-2017,rh_mean,85.41242523416,84.9602170890989,0.45220814506115,0.532258697723092,0.535695661744609,0.376958434714195,-0.367491513007438,1.29956052645241,5,5
nearest1,Mandena,2018-2022,2013-2017,vpd_kpa,0.433950784515077,0.450983693985061,-0.0170329094699835,-3.77683488275915,-0.757220514269491,0.221590218554233,-0.0398186267262812,0.00480674042833889,5,5
nearest1,Mandena,2018-2022,2013-2017,ssrd_MJ_day,5.46666666666668e-06,6.51666666666666e-06,-1.04999999999997e-06,-16.1125319693091,-0.321507676709151,0.592289647648158,-4.19958333333331e-06,2.21666666666672e-06,5,5
nearest1,Mandena,2018-2022,2013-2017,wbgt28_h,3.23333333333333,2.91666666666667,0.316666666666667,10.8571428571429,0.338026385448416,0.570993224953561,-0.633333333333333,1.26666666666667,5,5
nearest1,Mandena,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,2018-2022,2008-2012,tmean_c,21.575185084765,21.4973605919055,0.0778244928594951,0.362018827970904,0.244182298122544,0.681359468419954,-0.232907300881055,0.4024851131346,5,5
nearest1,Mandena,2018-2022,2008-2012,tmax_c,26.1571080477426,26.1696790437347,-0.0125709959920144,-0.0480364928091238,-0.0386698447052922,0.947954721009571,-0.324721453290246,0.327989370133486,5,5
nearest1,Mandena,2018-2022,2008-2012,rh_mean,85.41242523416,85.840640421053,-0.428215186893013,-0.498849012300694,-0.438436040789765,0.465033773391238,-1.39394350302986,0.533883716993119,5,5
nearest1,Mandena,2018-2022,2008-2012,vpd_kpa,0.433950784515077,0.422882680092431,0.0110681044226466,2.61729906276307,0.351465361071217,0.559462028299949,-0.0207728088831513,0.0419786157448424,5,5
nearest1,Mandena,2018-2022,2008-2012,ssrd_MJ_day,5.46666666666668e-06,7.20000000000002e-06,-1.73333333333334e-06,-24.0740740740741,-0.439105497675108,0.464172616342415,-5.36583333333336e-06,2.48291666666667e-06,5,5
nearest1,Mandena,2018-2022,2008-2012,wbgt28_h,3.23333333333333,3.01666666666667,0.216666666666667,7.18232044198896,0.159253864363677,0.790116521921881,-1.26625,1.53333333333333,5,5
nearest1,Mandena,2018-2022,2008-2012,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,-0.571250157965901,0.373900966300059,-0.05,0,5,5
nearest1,Mandena,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,2018-2022,2003-2007,tmean_c,21.575185084765,21.1983787902196,0.376806294545379,1.77752411292522,1.39216342750136,0.0607346911849439,0.103913621455676,0.64289113403028,5,5
nearest1,Mandena,2018-2022,2003-2007,tmax_c,26.1571080477426,25.6830070536928,0.474100994049827,1.84597151361082,1.95540378259376,0.0091196097574631,0.243670547963348,0.707183031631265,5,5
nearest1,Mandena,2018-2022,2003-2007,rh_mean,85.41242523416,86.259376244256,-0.846951010095964,-0.981865446948861,-1.03642045234989,0.110296774863334,-1.67765264164275,-0.016139450688831,5,5
nearest1,Mandena,2018-2022,2003-2007,vpd_kpa,0.433950784515077,0.39887677626844,0.0350740082466372,8.79319387174167,1.56638845416889,0.0253706189671882,0.0124656434160267,0.0578053831538303,5,5
nearest1,Mandena,2018-2022,2003-2007,ssrd_MJ_day,5.46666666666668e-06,7.11666666666667e-06,-1.64999999999998e-06,-23.1850117096016,-0.459991989718187,0.44503454106903,-5.39958333333335e-06,1.83291666666672e-06,5,5
nearest1,Mandena,2018-2022,2003-2007,wbgt28_h,3.23333333333333,2.65,0.583333333333334,22.0125786163522,0.404595965411856,0.507341189207412,-0.833333333333334,2.0325,5,5
nearest1,Mandena,2018-2022,2003-2007,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,-0.571250157965901,0.373900966300059,-0.05,0,5,5
nearest1,Mandena,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,tmean_c,21.575185084765,21.6497955964814,-0.0746105117164291,-0.344624554924459,-0.254324670543863,0.671342052534079,-0.35259850228116,0.221119781459119,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,tmax_c,26.1571080477426,26.2717746128856,-0.114666565142926,-0.436462960087535,-0.486141176410459,0.419930639347723,-0.34401750898264,0.120724610016422,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,rh_mean,85.41242523416,84.9602170890989,0.45220814506115,0.532258697723092,0.535695661744609,0.376958434714195,-0.360275022084689,1.34622975969307,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,vpd_kpa,0.433950784515077,0.450983693985061,-0.0170329094699835,-3.77683488275915,-0.757220514269491,0.221590218554233,-0.0391883401885628,0.00415566965657477,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,ssrd_MJ_day,5.46666666666668e-06,6.51666666666666e-06,-1.04999999999997e-06,-16.1125319693091,-0.321507676709151,0.592289647648158,-4.36624999999996e-06,2.06625000000004e-06,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,wbgt28_h,3.23333333333333,2.91666666666667,0.316666666666667,10.8571428571429,0.338026385448416,0.570993224953561,-0.6,1.28333333333333,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,tmean_c,21.575185084765,21.4973605919055,0.0778244928594951,0.362018827970904,0.244182298122544,0.681359468419954,-0.242080038717885,0.406489417952638,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,tmax_c,26.1571080477426,26.1696790437347,-0.0125709959920144,-0.0480364928091238,-0.0386698447052922,0.947954721009571,-0.342047940944078,0.299172243078733,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,rh_mean,85.41242523416,85.840640421053,-0.428215186893013,-0.498849012300694,-0.438436040789765,0.465033773391238,-1.38801195763115,0.568333512947753,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,vpd_kpa,0.433950784515077,0.422882680092431,0.0110681044226466,2.61729906276307,0.351465361071217,0.559462028299949,-0.0208987958738045,0.0422132129673189,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,ssrd_MJ_day,5.46666666666668e-06,7.20000000000002e-06,-1.73333333333334e-06,-24.0740740740741,-0.439105497675108,0.464172616342415,-5.59958333333336e-06,2.23291666666666e-06,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,wbgt28_h,3.23333333333333,3.01666666666667,0.216666666666667,7.18232044198896,0.159253864363677,0.790116521921881,-1.1325,1.63333333333333,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,-0.571250157965901,0.373900966300059,-0.05,0,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,tmean_c,21.575185084765,21.1983787902196,0.376806294545379,1.77752411292522,1.39216342750136,0.0607346911849439,0.111776099647385,0.651985040849514,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,tmax_c,26.1571080477426,25.6830070536928,0.474100994049827,1.84597151361082,1.95540378259376,0.0091196097574631,0.240870033502841,0.71488177637852,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,rh_mean,85.41242523416,86.259376244256,-0.846951010095964,-0.981865446948861,-1.03642045234989,0.110296774863334,-1.70225890037675,-0.0536648892061153,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,vpd_kpa,0.433950784515077,0.39887677626844,0.0350740082466372,8.79319387174167,1.56638845416889,0.0253706189671882,0.0135215473477623,0.0577844046736562,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,ssrd_MJ_day,5.46666666666668e-06,7.11666666666667e-06,-1.64999999999998e-06,-23.1850117096016,-0.459991989718187,0.44503454106903,-5.23208333333334e-06,1.93291666666672e-06,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,wbgt28_h,3.23333333333333,2.65,0.583333333333334,22.0125786163522,0.404595965411856,0.507341189207412,-0.832916666666666,2.04958333333333,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,-0.571250157965901,0.373900966300059,-0.05,0,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
