scheme,village,month,month_lab,variable,slope_decade_lm,p_lm,tau_mk,p_mk,sens_slope_decade
idw4,Mandena,1,Jan,tmean_c,0.191865268979064,7.85748652209426e-06,0.416161616161616,5.80665102025412e-05,
idw4,Mandena,1,Jan,tmax_c,0.195643448020814,0.00634247845453398,0.292929292929293,0.00469730637236205,
idw4,Mandena,1,Jan,tmin_c,0.210441490165989,1.01549869330829e-05,0.418181818181818,5.34288574327473e-05,
idw4,Mandena,1,Jan,rh_mean,-0.0834283949883389,0.714205130964618,-0.00404040404040404,0.97658787492219,
idw4,Mandena,1,Jan,vpd_kpa,0.00748888887530649,0.371051118967771,0.0666666666666667,0.52487368321117,
idw4,Mandena,1,Jan,ssrd_MJ_day,-2.17559868717629e-07,0.791473165473763,0.0101010101010101,0.929844186442454,
idw4,Mandena,1,Jan,wbgt28_h,2.79314888010541,0.000164159724551356,0.359597015357159,0.0006608059134472,
idw4,Mandena,1,Jan,wbgt31_h,0.00658761528326746,0.704904048942473,0.0479132978813391,0.728970195243336,
idw4,Mandena,1,Jan,hot35_h,0,,,,
idw4,Mandena,2,Feb,tmean_c,0.213258393714152,4.30151984906127e-05,0.4,0.000111537771176983,
idw4,Mandena,2,Feb,tmax_c,0.23488343085724,0.00453046587195556,0.301010101010101,0.0036684384354314,
idw4,Mandena,2,Feb,tmin_c,0.191165684887149,2.49193369577186e-05,0.416161616161616,5.80665102025412e-05,
idw4,Mandena,2,Feb,rh_mean,-0.41599726689003,0.0129256336396865,-0.266666666666667,0.0100894030082956,
idw4,Mandena,2,Feb,vpd_kpa,0.0185691849953838,0.00312961715470569,0.313131313131313,0.00250500005392023,
idw4,Mandena,2,Feb,ssrd_MJ_day,-1.06002383173631e-07,0.887032509131251,0.00202020202020202,0.992194962576403,
idw4,Mandena,2,Feb,wbgt28_h,1.866930171278,0.0482357969409849,0.223849506754792,0.0334335628990054,
idw4,Mandena,2,Feb,wbgt31_h,0,,,,
idw4,Mandena,2,Feb,hot35_h,0,,,,
idw4,Mandena,3,Mar,tmean_c,0.168320442938246,0.000294786264935189,0.373737373737374,0.000306579711396845,
idw4,Mandena,3,Mar,tmax_c,0.161691707688218,0.0317565482439367,0.21010101010101,0.0428735060484812,
idw4,Mandena,3,Mar,tmin_c,0.163808616853409,0.000187348849682938,0.335353535353535,0.00120392818290797,
idw4,Mandena,3,Mar,rh_mean,-0.236560793540572,0.10129348640865,-0.216161616161616,0.0371934619301837,
idw4,Mandena,3,Mar,vpd_kpa,0.0111892764282849,0.040635491309198,0.252525252525253,0.0148589952946608,
idw4,Mandena,3,Mar,ssrd_MJ_day,2.1572672034247e-07,0.832431098174795,0.00606060606060606,0.960989745417527,
idw4,Mandena,3,Mar,wbgt28_h,1.51910408432148,0.00483385020320143,0.278431091305982,0.00935302660996772,
idw4,Mandena,3,Mar,wbgt31_h,0,,,,
idw4,Mandena,3,Mar,hot35_h,0,,,,
idw4,Mandena,4,Apr,tmean_c,0.186389952467505,9.07815246530914e-05,0.367676767676768,0.000383796557584724,
idw4,Mandena,4,Apr,tmax_c,0.215719687831415,0.00081643694407388,0.357575757575758,0.000554062575742015,
idw4,Mandena,4,Apr,tmin_c,0.147541024229726,0.0127453555385772,0.242424242424242,0.019388575004816,
idw4,Mandena,4,Apr,rh_mean,-0.259122041930327,0.153075000105815,-0.0767676767676768,0.463147459250283,
idw4,Mandena,4,Apr,vpd_kpa,0.0119822470889177,0.0479926915499952,0.157575757575758,0.129453732237324,
idw4,Mandena,4,Apr,ssrd_MJ_day,-1.45520680879926e-06,0.140955590085138,-0.202020202020202,0.0515729150101514,
idw4,Mandena,4,Apr,wbgt28_h,0.0579710144927551,0.623992312707776,0.159348202154215,0.18714267805191,
idw4,Mandena,4,Apr,wbgt31_h,0,,,,
idw4,Mandena,4,Apr,hot35_h,0,,,,
idw4,Mandena,5,May,tmean_c,0.181330053817003,0.00168900974964328,0.268686868686869,0.00953325117758626,
idw4,Mandena,5,May,tmax_c,0.238901305397096,0.000641077796889466,0.325252525252525,0.00168875966140681,
idw4,Mandena,5,May,tmin_c,0.111454598823925,0.0890093948951277,0.175757575757576,0.0905809139881308,
idw4,Mandena,5,May,rh_mean,-0.262079734871678,0.143632175682591,-0.187878787878788,0.0703377988464974,
idw4,Mandena,5,May,vpd_kpa,0.0126578039476439,0.0212530540005895,0.24040404040404,0.0204270608594728,
idw4,Mandena,5,May,ssrd_MJ_day,5.96954817191756e-07,0.372490591730173,0.0909090909090909,0.383958144794802,
idw4,Mandena,5,May,wbgt28_h,0.0250329380764164,0.145426874811898,0.182070531949089,0.154306867201098,
idw4,Mandena,5,May,wbgt31_h,0,,,,
idw4,Mandena,5,May,hot35_h,0,,,,
idw4,Mandena,6,Jun,tmean_c,0.170876676523667,0.00541532122731142,0.25050505050505,0.0156820235680705,
idw4,Mandena,6,Jun,tmax_c,0.210988541077117,0.00634611127464257,0.252525252525253,0.0148589952946608,
idw4,Mandena,6,Jun,tmin_c,0.12453559872484,0.0610168721617257,0.191919191919192,0.0644782569207736,
idw4,Mandena,6,Jun,rh_mean,-0.188809801545358,0.338518820989142,-0.0767676767676768,0.463147459250283,
idw4,Mandena,6,Jun,vpd_kpa,0.00888101102601447,0.112000179131659,0.151515151515152,0.144960305070339,
idw4,Mandena,6,Jun,ssrd_MJ_day,-8.37052944693249e-07,0.228011167377764,-0.131313131313131,0.206977844731693,
idw4,Mandena,6,Jun,wbgt28_h,0,,,,
idw4,Mandena,6,Jun,wbgt31_h,0,,,,
idw4,Mandena,6,Jun,hot35_h,0,,,,
idw4,Mandena,7,Jul,tmean_c,0.13969130202776,0.0315218992049841,0.222222222222222,0.0321670949862361,
idw4,Mandena,7,Jul,tmax_c,0.199992652538049,0.0110306916968659,0.260606060606061,0.0119351420186246,
idw4,Mandena,7,Jul,tmin_c,0.0477608275619996,0.483451354028006,0.0525252525252525,0.617851026234554,
idw4,Mandena,7,Jul,rh_mean,-0.221237861613058,0.267343359851537,-0.0949494949494949,0.362951342162303,
idw4,Mandena,7,Jul,vpd_kpa,0.00931038042948475,0.0897296214182361,0.163636363636364,0.115267182487228,
idw4,Mandena,7,Jul,ssrd_MJ_day,-1.0356877170883e-06,0.243387868773378,-0.131313131313131,0.206977844731693,
idw4,Mandena,7,Jul,wbgt28_h,0,,,,
idw4,Mandena,7,Jul,wbgt31_h,0,,,,
idw4,Mandena,7,Jul,hot35_h,0,,,,
idw4,Mandena,8,Aug,tmean_c,0.21824439481153,0.000111916445218608,0.371717171717172,0.000330536728212008,
idw4,Mandena,8,Aug,tmax_c,0.321163001308207,3.15315397696753e-06,0.436363636363636,2.48475657085295e-05,
idw4,Mandena,8,Aug,tmin_c,0.1422882721298,0.0213058404892847,0.23030303030303,0.0263789751975043,
idw4,Mandena,8,Aug,rh_mean,-0.38787831488875,0.0282099553901593,-0.167676767676768,0.106509476193458,
idw4,Mandena,8,Aug,vpd_kpa,0.0162801704384255,0.00149840444205094,0.254545454545455,0.0140742677569529,
idw4,Mandena,8,Aug,ssrd_MJ_day,-9.17633327720688e-07,0.276364770641593,-0.135353535353535,0.193241844449539,
idw4,Mandena,8,Aug,wbgt28_h,0,,,,
idw4,Mandena,8,Aug,wbgt31_h,0,,,,
idw4,Mandena,8,Aug,hot35_h,0,,,,
idw4,Mandena,9,Sep,tmean_c,0.184955380880078,0.00042762535893225,0.371717171717172,0.000330536728212008,
idw4,Mandena,9,Sep,tmax_c,0.266479221590729,0.000165937544706902,0.341414141414141,0.000978482210428433,
idw4,Mandena,9,Sep,tmin_c,0.13750232723124,0.0121359418364472,0.272727272727273,0.0085022873944983,
idw4,Mandena,9,Sep,rh_mean,-0.382884169389549,0.066301554712956,-0.206060606060606,0.0470543237302313,
idw4,Mandena,9,Sep,vpd_kpa,0.0168875294714778,0.00880727803704434,0.260606060606061,0.0119351420186246,
idw4,Mandena,9,Sep,ssrd_MJ_day,4.30876293956635e-07,0.564488418782624,0.0444444444444444,0.674018163126659,
idw4,Mandena,9,Sep,wbgt28_h,0,,,,
idw4,Mandena,9,Sep,wbgt31_h,0,,,,
idw4,Mandena,9,Sep,hot35_h,0,,,,
idw4,Mandena,10,Oct,tmean_c,0.284245077949939,0.00036927213619734,0.339393939393939,0.0010488771666414,
idw4,Mandena,10,Oct,tmax_c,0.464272143817279,2.50899659850804e-06,0.393939393939394,0.000141619609279103,
idw4,Mandena,10,Oct,tmin_c,0.117197988654252,0.191415416636551,0.141414141414141,0.17391144078262,
idw4,Mandena,10,Oct,rh_mean,-0.997062542480425,0.000213546339325208,-0.357575757575758,0.000554062575742015,
idw4,Mandena,10,Oct,vpd_kpa,0.0418438247247818,9.30464287423393e-06,0.426262626262626,3.81583870152007e-05,
idw4,Mandena,10,Oct,ssrd_MJ_day,-1.12647873415038e-06,0.135879646196898,-0.167676767676768,0.106509476193458,
idw4,Mandena,10,Oct,wbgt28_h,0,,,,
idw4,Mandena,10,Oct,wbgt31_h,0,,,,
idw4,Mandena,10,Oct,hot35_h,0,,,,
idw4,Mandena,11,Nov,tmean_c,0.383252805488795,1.84591233692029e-09,0.543434343434343,1.495556391858e-07,
idw4,Mandena,11,Nov,tmax_c,0.558657273666479,2.25683391901371e-10,0.595959595959596,8.32283167965429e-09,
idw4,Mandena,11,Nov,tmin_c,0.230506626643869,0.00210541276401345,0.272727272727273,0.0085022873944983,
idw4,Mandena,11,Nov,rh_mean,-1.06065210920855,0.0013069160585961,-0.325252525252525,0.00168875966140681,
idw4,Mandena,11,Nov,vpd_kpa,0.0495458679208677,1.37067205836838e-05,0.44040404040404,2.08760418350155e-05,
idw4,Mandena,11,Nov,ssrd_MJ_day,-3.76698878315696e-07,0.669110809214755,-0.0565656565656566,0.590558003329176,
idw4,Mandena,11,Nov,wbgt28_h,0.0447957839262187,0.363354252868884,0.113069674442244,0.368098075798547,
idw4,Mandena,11,Nov,wbgt31_h,0,,,,
idw4,Mandena,11,Nov,hot35_h,0,,,,
idw4,Mandena,12,Dec,tmean_c,0.311498282707948,8.61479159513468e-08,0.539393939393939,1.84834961140162e-07,
idw4,Mandena,12,Dec,tmax_c,0.414147510976414,2.83712614842929e-06,0.488888888888889,2.30273438267773e-06,
idw4,Mandena,12,Dec,tmin_c,0.210608255310626,0.000190460358483879,0.353535353535353,0.000640096219710367,
idw4,Mandena,12,Dec,rh_mean,-1.00834178220709,0.00107707714275514,-0.347474747474747,0.000792687338776311,
idw4,Mandena,12,Dec,vpd_kpa,0.0437802911077679,9.63996217583079e-05,0.375757575757576,0.000284256176432174,
idw4,Mandena,12,Dec,ssrd_MJ_day,3.94704333164867e-07,0.601592148040726,0.0161616161616162,0.883341352299997,
idw4,Mandena,12,Dec,wbgt28_h,0.90909090909091,0.0224379331359442,0.220510432928579,0.0432054199538434,
idw4,Mandena,12,Dec,wbgt31_h,0,,,,
idw4,Mandena,12,Dec,hot35_h,0,,,,
idw4,Sarahandrano,1,Jan,tmean_c,0.184801094037419,7.84562397480289e-06,0.424242424242424,4.1531208491617e-05,
idw4,Sarahandrano,1,Jan,tmax_c,0.198891853304317,0.00383333040512484,0.272727272727273,0.0085022873944983,
idw4,Sarahandrano,1,Jan,tmin_c,0.197629407921222,3.29006497543681e-05,0.416161616161616,5.80665102025412e-05,
idw4,Sarahandrano,1,Jan,rh_mean,0.0082442609329865,0.968518548628604,0.0484848484848485,0.645682015976444,
idw4,Sarahandrano,1,Jan,vpd_kpa,0.00414907321489493,0.557091682404823,0.0181818181818182,0.867921309924502,
idw4,Sarahandrano,1,Jan,ssrd_MJ_day,3.70368248390218e-07,0.553005230678967,0.0767676767676768,0.463147459250283,
idw4,Sarahandrano,1,Jan,wbgt28_h,0.220026350461134,0.00666642500389569,0.306508602693282,0.0113204622366683,
idw4,Sarahandrano,1,Jan,wbgt31_h,0,,,,
idw4,Sarahandrano,1,Jan,hot35_h,0,,,,
idw4,Sarahandrano,2,Feb,tmean_c,0.207434604631068,4.88643596022855e-05,0.391919191919192,0.00015324090620392,
idw4,Sarahandrano,2,Feb,tmax_c,0.221751031490225,0.00854453747254793,0.274747474747475,0.00802517848429526,
idw4,Sarahandrano,2,Feb,tmin_c,0.181923380377571,3.71003885033494e-05,0.385858585858586,0.000193723411168827,
idw4,Sarahandrano,2,Feb,rh_mean,-0.343059657088911,0.0436033091778449,-0.208080808080808,0.044922913436188,
idw4,Sarahandrano,2,Feb,vpd_kpa,0.0148563344470988,0.0142891499163128,0.268686868686869,0.00953325117758626,
idw4,Sarahandrano,2,Feb,ssrd_MJ_day,-4.57987072001e-07,0.384322989249677,-0.0888888888888889,0.39473501330303,
idw4,Sarahandrano,2,Feb,wbgt28_h,0.288537549407115,0.00896803862025636,0.35993425726467,0.00242726682879079,
idw4,Sarahandrano,2,Feb,wbgt31_h,0,,,,
idw4,Sarahandrano,2,Feb,hot35_h,0,,,,
idw4,Sarahandrano,3,Mar,tmean_c,0.165412718509532,0.000367994365370056,0.375757575757576,0.000284256176432174,
idw4,Sarahandrano,3,Mar,tmax_c,0.164553802219269,0.0353114815317504,0.21010101010101,0.0428735060484812,
idw4,Sarahandrano,3,Mar,tmin_c,0.15982373004587,0.000270535812237446,0.331313131313131,0.00137991984228716,
idw4,Sarahandrano,3,Mar,rh_mean,-0.196812213515068,0.155274519371699,-0.195959595959596,0.0590275998626276,
idw4,Sarahandrano,3,Mar,vpd_kpa,0.00902309002268733,0.0742440149861744,0.218181818181818,0.0354483996427244,
idw4,Sarahandrano,3,Mar,ssrd_MJ_day,2.5768090835641e-07,0.726669393631963,-0.0262626262626263,0.806798692380651,
idw4,Sarahandrano,3,Mar,wbgt28_h,0.160737812911727,0.139690213879451,0.0761455111546637,0.531693963553176,
idw4,Sarahandrano,3,Mar,wbgt31_h,0,,,,
idw4,Sarahandrano,3,Mar,hot35_h,0,,,,
idw4,Sarahandrano,4,Apr,tmean_c,0.175871695791829,0.000322231347702449,0.343434343434343,0.000912484103057926,
idw4,Sarahandrano,4,Apr,tmax_c,0.207034478120301,0.0014520102827343,0.347474747474747,0.000792687338776311,
idw4,Sarahandrano,4,Apr,tmin_c,0.13536728815157,0.0250316043267973,0.21010101010101,0.0428735060484812,
idw4,Sarahandrano,4,Apr,rh_mean,-0.192456427425955,0.258014156217291,-0.0646464646464646,0.537705681520768,
idw4,Sarahandrano,4,Apr,vpd_kpa,0.00893589855827618,0.0943316283633652,0.129292929292929,0.214105754914349,
idw4,Sarahandrano,4,Apr,ssrd_MJ_day,2.43266426284176e-09,0.996426449696827,-0.00808080808080808,0.945406534737361,
idw4,Sarahandrano,4,Apr,wbgt28_h,-0.0250329380764165,0.145426874811897,-0.182070531949089,0.154306867201098,
idw4,Sarahandrano,4,Apr,wbgt31_h,0,,,,
idw4,Sarahandrano,4,Apr,hot35_h,0,,,,
idw4,Sarahandrano,5,May,tmean_c,0.164205805270266,0.00546757622572712,0.248484848484848,0.0165448916103852,
idw4,Sarahandrano,5,May,tmax_c,0.235745269524468,0.00142385375004031,0.311111111111111,0.00267181235202826,
idw4,Sarahandrano,5,May,tmin_c,0.0918317227380333,0.167514476862829,0.155555555555556,0.134472657814085,
idw4,Sarahandrano,5,May,rh_mean,-0.191287233171831,0.212053280694503,-0.117171717171717,0.260603114798266,
idw4,Sarahandrano,5,May,vpd_kpa,0.00952858050565512,0.0365107354133784,0.22020202020202,0.0337736842484565,
idw4,Sarahandrano,5,May,ssrd_MJ_day,5.30084732120264e-07,0.263568010421559,0.103030303030303,0.323145646876319,
idw4,Sarahandrano,5,May,wbgt28_h,0,,,,
idw4,Sarahandrano,5,May,wbgt31_h,0,,,,
idw4,Sarahandrano,5,May,hot35_h,0,,,,
idw4,Sarahandrano,6,Jun,tmean_c,0.148442582816286,0.0173486417921555,0.204040404040404,0.0492701698056092,
idw4,Sarahandrano,6,Jun,tmax_c,0.193891385646208,0.0133936282751381,0.202020202020202,0.0515729150101514,
idw4,Sarahandrano,6,Jun,tmin_c,0.0831614807641452,0.213788206183833,0.137373737373737,0.186630380015421,
idw4,Sarahandrano,6,Jun,rh_mean,-0.0764632787703712,0.631129071343868,-0.0242424242424242,0.821984444076777,
idw4,Sarahandrano,6,Jun,vpd_kpa,0.00496128777406858,0.249072546588802,0.115151515151515,0.268985379945214,
idw4,Sarahandrano,6,Jun,ssrd_MJ_day,-3.00643548441752e-07,0.501458305528077,-0.0666666666666667,0.52487368321117,
idw4,Sarahandrano,6,Jun,wbgt28_h,0,,,,
idw4,Sarahandrano,6,Jun,wbgt31_h,0,,,,
idw4,Sarahandrano,6,Jun,hot35_h,0,,,,
idw4,Sarahandrano,7,Jul,tmean_c,0.120043496090191,0.0661007072269777,0.218181818181818,0.0354483996427244,
idw4,Sarahandrano,7,Jul,tmax_c,0.180192848425158,0.0251200521387927,0.25050505050505,0.0156820235680705,
idw4,Sarahandrano,7,Jul,tmin_c,0.0349796090284443,0.614615190135269,0.0303030303030303,0.776650048834706,
idw4,Sarahandrano,7,Jul,rh_mean,-0.120694014026754,0.430478463252796,-0.0787878787878788,0.451306534760978,
idw4,Sarahandrano,7,Jul,vpd_kpa,0.00564917506669697,0.162769457913225,0.143434343434343,0.167800092606734,
idw4,Sarahandrano,7,Jul,ssrd_MJ_day,-6.71549435186124e-07,0.318746495041358,-0.127272727272727,0.221409034709388,
idw4,Sarahandrano,7,Jul,wbgt28_h,0,,,,
idw4,Sarahandrano,7,Jul,wbgt31_h,0,,,,
idw4,Sarahandrano,7,Jul,hot35_h,0,,,,
idw4,Sarahandrano,8,Aug,tmean_c,0.205666141127855,0.000251190468689934,0.363636363636364,0.000444994405444458,
idw4,Sarahandrano,8,Aug,tmax_c,0.322860876696004,2.10300426967281e-06,0.428282828282828,3.50466595264604e-05,
idw4,Sarahandrano,8,Aug,tmin_c,0.120492536150358,0.0565234381184301,0.2,0.0539650514821469,
idw4,Sarahandrano,8,Aug,rh_mean,-0.327134734298636,0.0224771567075128,-0.197979797979798,0.0564490983570774,
idw4,Sarahandrano,8,Aug,vpd_kpa,0.0127304068334821,0.00100478480136998,0.313131313131313,0.00250500005392023,
idw4,Sarahandrano,8,Aug,ssrd_MJ_day,-1.01615225030664e-06,0.102615604365612,-0.15959595959596,0.124581502145293,
idw4,Sarahandrano,8,Aug,wbgt28_h,0,,,,
idw4,Sarahandrano,8,Aug,wbgt31_h,0,,,,
idw4,Sarahandrano,8,Aug,hot35_h,0,,,,
idw4,Sarahandrano,9,Sep,tmean_c,0.166236871993988,0.00135672394445961,0.357575757575758,0.000554062575742015,
idw4,Sarahandrano,9,Sep,tmax_c,0.249467950229431,0.000332514935101968,0.345454545454545,0.000850631897869722,
idw4,Sarahandrano,9,Sep,tmin_c,0.119038042945021,0.0367509482377417,0.244444444444444,0.0183965197020515,
idw4,Sarahandrano,9,Sep,rh_mean,-0.237412524214022,0.198058643188212,-0.119191919191919,0.252403318481302,
idw4,Sarahandrano,9,Sep,vpd_kpa,0.011176818943971,0.0343003204737146,0.202020202020202,0.0515729150101514,
idw4,Sarahandrano,9,Sep,ssrd_MJ_day,1.45609527307822e-07,0.798553457567053,-0.0202020202020202,0.852551354898099,
idw4,Sarahandrano,9,Sep,wbgt28_h,0,,,,
idw4,Sarahandrano,9,Sep,wbgt31_h,0,,,,
idw4,Sarahandrano,9,Sep,hot35_h,0,,,,
idw4,Sarahandrano,10,Oct,tmean_c,0.261567917924363,0.0010176781985522,0.323232323232323,0.00180507518795772,
idw4,Sarahandrano,10,Oct,tmax_c,0.450827174822565,4.74736351047493e-06,0.37979797979798,0.000244101842914944,
idw4,Sarahandrano,10,Oct,tmin_c,0.079979830802268,0.371920387615272,0.121212121212121,0.244385088601117,
idw4,Sarahandrano,10,Oct,rh_mean,-0.874144885416733,0.000282829114539849,-0.335353535353535,0.00120392818290797,
idw4,Sarahandrano,10,Oct,vpd_kpa,0.0347796486267227,1.71065651832248e-05,0.402020202020202,0.000102929244085803,
idw4,Sarahandrano,10,Oct,ssrd_MJ_day,-4.52427794113301e-07,0.4121420123767,-0.103030303030303,0.323145646876319,
idw4,Sarahandrano,10,Oct,wbgt28_h,0,,,,
idw4,Sarahandrano,10,Oct,wbgt31_h,0,,,,
idw4,Sarahandrano,10,Oct,hot35_h,0,,,,
idw4,Sarahandrano,11,Nov,tmean_c,0.368554143387498,7.01137022827148e-09,0.523232323232323,4.24879032707476e-07,
idw4,Sarahandrano,11,Nov,tmax_c,0.550453139852514,5.00754270531249e-10,0.583838383838384,1.65759734158036e-08,
idw4,Sarahandrano,11,Nov,tmin_c,0.214999010069541,0.00474141179669017,0.242424242424242,0.019388575004816,
idw4,Sarahandrano,11,Nov,rh_mean,-0.985556622227541,0.00170045312351642,-0.321212121212121,0.00192871310117066,
idw4,Sarahandrano,11,Nov,vpd_kpa,0.043031840390517,2.47421992903948e-05,0.426262626262626,3.81583870152007e-05,
idw4,Sarahandrano,11,Nov,ssrd_MJ_day,-5.00022233397001e-07,0.350595038046101,-0.121212121212121,0.244385088601117,
idw4,Sarahandrano,11,Nov,wbgt28_h,0,,,,
idw4,Sarahandrano,11,Nov,wbgt31_h,0,,,,
idw4,Sarahandrano,11,Nov,hot35_h,0,,,,
idw4,Sarahandrano,12,Dec,tmean_c,0.287875787554739,1.77662681035882e-07,0.535353535353535,2.28097631161452e-07,
idw4,Sarahandrano,12,Dec,tmax_c,0.377548740404979,3.43618675835404e-06,0.492929292929293,1.89802175042724e-06,
idw4,Sarahandrano,12,Dec,tmin_c,0.197940141727661,0.000501649614938714,0.343434343434343,0.000912484103057926,
idw4,Sarahandrano,12,Dec,rh_mean,-0.847554763896142,0.0028213358173123,-0.319191919191919,0.00206008407213936,
idw4,Sarahandrano,12,Dec,vpd_kpa,0.0345213697256357,0.000296861208088477,0.355555555555556,0.00059563511563025,
idw4,Sarahandrano,12,Dec,ssrd_MJ_day,5.93951480304501e-07,0.342005435609551,0.105050505050505,0.313656645625766,
idw4,Sarahandrano,12,Dec,wbgt28_h,0.0513833992094863,0.246560058362296,0.174615389022126,0.163158941094032,
idw4,Sarahandrano,12,Dec,wbgt31_h,0,,,,
idw4,Sarahandrano,12,Dec,hot35_h,0,,,,
nearest1,Mandena,1,Jan,tmean_c,0.191053745226255,7.59199796941899e-06,0.422222222222222,4.51856323780444e-05,
nearest1,Mandena,1,Jan,tmax_c,0.190360831314549,0.00853606717373303,0.27314143738915,0.00849283914695355,
nearest1,Mandena,1,Jan,tmin_c,0.210863190105828,1.38518027286394e-05,0.422649356597734,4.51098152435729e-05,
nearest1,Mandena,1,Jan,rh_mean,-0.0594578489277209,0.796236908329799,0.00404040404040404,0.97658787492219,
nearest1,Mandena,1,Jan,vpd_kpa,0.00639851125391188,0.445321522712951,0.0525252525252525,0.617851026234554,
